_c0,signal_std,signal_rad,pluie,timestamp
2022-10-08T17:29:00.000+02:00,-23.27848,-30.332813,0,2022-10-08T17:29:00.000+02:00
2022-10-08T17:30:00.000+02:00,-23.271023,-30.325356,0,2022-10-08T17:30:00.000+02:00
2022-10-08T17:31:00.000+02:00,-23.274574,-30.327131,0,2022-10-08T17:31:00.000+02:00
2022-10-08T17:32:00.000+02:00,-23.260725,-30.322159,0,2022-10-08T17:32:00.000+02:00
2022-10-08T17:33:00.000+02:00,-23.255753,-30.313282,0,2022-10-08T17:33:00.000+02:00
2022-10-08T17:34:00.000+02:00,-23.257883,-30.312216,0,2022-10-08T17:34:00.000+02:00
2022-10-08T17:35:00.000+02:00,-23.261435,-30.313992,0,2022-10-08T17:35:00.000+02:00
2022-10-08T17:36:00.000+02:00,-23.257174,-30.309376,0,2022-10-08T17:36:00.000+02:00
2022-10-08T17:37:00.000+02:00,-23.246164,-30.309376,0,2022-10-08T17:37:00.000+02:00
2022-10-08T17:38:00.000+02:00,-23.251492,-30.29943,0,2022-10-08T17:38:00.000+02:00
2022-10-08T17:39:00.000+02:00,-23.255753,-30.30476,0,2022-10-08T17:39:00.000+02:00
2022-10-08T17:40:00.000+02:00,-23.240482,-30.307245,0,2022-10-08T17:40:00.000+02:00
2022-10-08T17:41:00.000+02:00,-23.256819,-30.297302,0,2022-10-08T17:41:00.000+02:00
2022-10-08T17:42:00.000+02:00,-23.241903,-30.291264,0,2022-10-08T17:42:00.000+02:00
2022-10-08T17:43:00.000+02:00,-23.224857,-30.279545,0,2022-10-08T17:43:00.000+02:00
2022-10-08T17:44:00.000+02:00,-23.239773,-30.282387,0,2022-10-08T17:44:00.000+02:00
2022-10-08T17:45:00.000+02:00,-23.24581,-30.275639,0,2022-10-08T17:45:00.000+02:00
2022-10-08T17:46:00.000+02:00,-23.240482,-30.284163,0,2022-10-08T17:46:00.000+02:00
2022-10-08T17:47:00.000+02:00,-23.226278,-30.280966,0,2022-10-08T17:47:00.000+02:00
2022-10-08T17:48:00.000+02:00,-23.235157,-30.280966,0,2022-10-08T17:48:00.000+02:00
2022-10-08T17:49:00.000+02:00,-23.237288,-30.27493,0,2022-10-08T17:49:00.000+02:00
2022-10-08T17:50:00.000+02:00,-23.240839,-30.271378,0,2022-10-08T17:50:00.000+02:00
2022-10-08T17:51:00.000+02:00,-23.241549,-30.272799,0,2022-10-08T17:51:00.000+02:00
2022-10-08T17:52:00.000+02:00,-23.24865,-30.270313,0,2022-10-08T17:52:00.000+02:00
2022-10-08T17:53:00.000+02:00,-23.241903,-30.268892,0,2022-10-08T17:53:00.000+02:00
2022-10-08T17:54:00.000+02:00,-23.23409,-30.26392,0,2022-10-08T17:54:00.000+02:00
2022-10-08T17:55:00.000+02:00,-23.218466,-30.263922,0,2022-10-08T17:55:00.000+02:00
2022-10-08T17:56:00.000+02:00,-23.219177,-30.266407,0,2022-10-08T17:56:00.000+02:00
2022-10-08T17:57:00.000+02:00,-23.222372,-30.255398,0,2022-10-08T17:57:00.000+02:00
2022-10-08T17:58:00.000+02:00,-23.21882,-30.253267,0,2022-10-08T17:58:00.000+02:00
2022-10-08T17:59:00.000+02:00,-23.222017,-30.253977,0,2022-10-08T17:59:00.000+02:00
2022-10-08T18:00:00.000+02:00,-23.208523,-30.247585,0,2022-10-08T18:00:00.000+02:00
2022-10-08T18:01:00.000+02:00,-23.198225,-30.246164,0,2022-10-08T18:01:00.000+02:00
2022-10-08T18:02:00.000+02:00,-23.198935,-30.252556,0,2022-10-08T18:02:00.000+02:00
2022-10-08T18:03:00.000+02:00,-23.197514,-30.256107,0,2022-10-08T18:03:00.000+02:00
2022-10-08T18:04:00.000+02:00,-23.20568,-30.260725,0,2022-10-08T18:04:00.000+02:00
2022-10-08T18:05:00.000+02:00,-23.19645,-30.253977,0,2022-10-08T18:05:00.000+02:00
2022-10-08T18:06:00.000+02:00,-23.190767,-30.24865,0,2022-10-08T18:06:00.000+02:00
2022-10-08T18:07:00.000+02:00,-23.177628,-30.238352,0,2022-10-08T18:07:00.000+02:00
2022-10-08T18:08:00.000+02:00,-23.178694,-30.240128,0,2022-10-08T18:08:00.000+02:00
2022-10-08T18:09:00.000+02:00,-23.16804,-30.245455,0,2022-10-08T18:09:00.000+02:00
2022-10-08T18:10:00.000+02:00,-23.184376,-30.248652,0,2022-10-08T18:10:00.000+02:00
2022-10-08T18:11:00.000+02:00,-23.171946,-30.246876,0,2022-10-08T18:11:00.000+02:00
2022-10-08T18:12:00.000+02:00,-23.174076,-30.235157,0,2022-10-08T18:12:00.000+02:00
2022-10-08T18:13:00.000+02:00,-23.177982,-30.244034,0,2022-10-08T18:13:00.000+02:00
2022-10-08T18:14:00.000+02:00,-23.177982,-30.234446,0,2022-10-08T18:14:00.000+02:00
2022-10-08T18:15:00.000+02:00,-23.174076,-30.236576,0,2022-10-08T18:15:00.000+02:00
2022-10-08T18:16:00.000+02:00,-23.173367,-30.234447,0,2022-10-08T18:16:00.000+02:00
2022-10-08T18:17:00.000+02:00,-23.17976,-30.2277,0,2022-10-08T18:17:00.000+02:00
2022-10-08T18:18:00.000+02:00,-23.177982,-30.236576,0,2022-10-08T18:18:00.000+02:00
2022-10-08T18:19:00.000+02:00,-23.18331,-30.242258,0,2022-10-08T18:19:00.000+02:00
